epoch,train_loss,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,2.129743,1.495157,-0.011914,0.902465,0.712567,0.4,0.666667,0.0,0.680715,0.814442
2,1.435428,1.343298,-0.020395,0.812582,0.689255,0.4,0.666667,0.0,0.683009,0.660289
3,1.450313,1.357304,-0.020474,0.816166,0.682534,0.4,0.666667,0.0,0.691177,0.666127
4,1.518736,1.364972,-0.020598,0.812299,0.68943,0.4,0.666667,0.0,0.705142,0.65983
5,1.318403,1.355223,-0.017829,0.81326,0.683026,0.4,0.666667,0.0,0.693831,0.661392
6,1.408976,1.366489,-0.019051,0.812225,0.694228,0.4,0.666667,0.0,0.70678,0.659709
7,1.437414,1.361281,-0.01775,0.812757,0.683782,0.4,0.666667,0.0,0.700708,0.660574
8,1.344601,1.375744,-0.019451,0.813311,0.68487,0.4,0.666667,0.0,0.714269,0.661474
9,1.347497,1.360337,-0.018393,0.811203,0.690322,0.4,0.666667,0.0,0.702287,0.658051
10,1.286547,1.375535,-0.018202,0.816476,0.679363,0.4,0.666667,0.0,0.708902,0.666633
11,1.431378,1.377088,-0.018823,0.818326,0.678398,0.4,0.666667,0.0,0.707431,0.669657
12,1.343478,1.385041,-0.018116,0.814998,0.680728,0.4,0.666667,0.0,0.720819,0.664222
13,1.436894,1.390927,-0.019986,0.812364,0.687693,0.4,0.666667,0.0,0.730991,0.659936
14,1.519504,1.384891,-0.018056,0.813115,0.682986,0.4,0.666667,0.0,0.723735,0.661156
15,1.385202,1.384375,-0.015293,0.821905,0.672518,0.4,0.666667,0.0,0.708848,0.675527
16,1.354282,1.386369,-0.018667,0.811528,0.692266,0.4,0.666667,0.0,0.727792,0.658577
17,1.392069,1.381491,-0.017167,0.811228,0.685568,0.4,0.666667,0.0,0.723399,0.658092
18,1.409755,1.401973,-0.017179,0.811905,0.684337,0.4,0.666667,0.0,0.742782,0.65919
19,1.460166,1.402491,-0.017487,0.822672,0.673952,0.4,0.666667,0.0,0.725702,0.676789
20,1.367174,1.375129,-0.01707,0.813498,0.681114,0.4,0.666667,0.0,0.713349,0.661779
21,1.404109,1.383934,-0.016324,0.81856,0.675349,0.4,0.666667,0.0,0.713894,0.67004
22,1.426389,1.389244,-0.016807,0.815932,0.677992,0.4,0.666667,0.0,0.7235,0.665744
23,1.374345,1.381814,-0.017348,0.814255,0.680344,0.4,0.666667,0.0,0.718803,0.66301
24,1.395006,1.3764,-0.018157,0.811045,0.688956,0.4,0.666667,0.0,0.718606,0.657794
25,1.4632,1.374155,-0.018147,0.811411,0.686475,0.4,0.666667,0.0,0.715767,0.658387
26,1.455591,1.387868,-0.018582,0.815625,0.68008,0.4,0.666667,0.0,0.722624,0.665244
27,1.402137,1.380766,-0.019259,0.812084,0.686699,0.4,0.666667,0.0,0.721285,0.659481
28,1.347521,1.382501,-0.018647,0.815787,0.680047,0.4,0.666667,0.0,0.716992,0.665509
29,1.428523,1.395233,-0.018751,0.82068,0.67596,0.4,0.666667,0.0,0.721718,0.673515
30,1.436995,1.38136,-0.019455,0.812541,0.685628,0.4,0.666667,0.0,0.721137,0.660223
31,1.360178,1.389285,-0.021121,0.812396,0.69268,0.4,0.666667,0.0,0.729297,0.659988
32,1.401352,1.395803,-0.021574,0.817093,0.681602,0.4,0.666667,0.0,0.728162,0.667641
33,1.359014,1.405088,-0.022552,0.818228,0.681235,0.4,0.666667,0.0,0.735591,0.669497
34,1.467568,1.409745,-0.023216,0.822267,0.678597,0.4,0.666667,0.0,0.733621,0.676123
35,1.404918,1.395878,-0.024374,0.814349,0.688982,0.4,0.666667,0.0,0.732713,0.663165
36,1.483115,1.38844,-0.023791,0.815248,0.68634,0.4,0.666667,0.0,0.72381,0.664629
37,1.464786,1.399816,-0.023734,0.826662,0.676014,0.4,0.666667,0.0,0.716446,0.68337
38,1.445661,1.401332,-0.025144,0.822263,0.68018,0.4,0.666667,0.0,0.725216,0.676116
39,1.380096,1.393311,-0.026514,0.816712,0.687262,0.4,0.666667,0.0,0.726292,0.667019
40,1.398751,1.406444,-0.027167,0.817436,0.686813,0.4,0.666667,0.0,0.738243,0.668201
41,1.502654,1.418232,-0.026544,0.819005,0.684232,0.4,0.666667,0.0,0.747463,0.670769
42,1.450854,1.400373,-0.0258,0.82155,0.681319,0.4,0.666667,0.0,0.72543,0.674944
43,1.405487,1.381376,-0.026006,0.814325,0.693103,0.4,0.666667,0.0,0.718251,0.663124
44,1.460955,1.375355,-0.025384,0.815767,0.687428,0.4,0.666667,0.0,0.709879,0.665475
45,1.44796,1.383197,-0.026854,0.81612,0.688649,0.4,0.666667,0.0,0.717145,0.666052
46,1.442452,1.382979,-0.02792,0.81513,0.695309,0.4,0.666667,0.0,0.718542,0.664436
