epoch,train_loss,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,2.665958,2.001598,0.000511,0.957544,0.828901,0.121212,0.222222,-0.465116,1.084708,0.91689
2,1.993854,1.619915,0.001306,0.764512,0.587271,0.266667,0.666667,0.0,1.035436,0.584479
3,1.706942,1.548204,0.002843,0.73353,0.5572,0.266667,0.666667,0.0,1.010138,0.538066
4,1.618355,1.551291,0.002097,0.735678,0.559992,0.266667,0.666667,0.0,1.010069,0.541223
5,1.888595,1.587848,0.001656,0.758599,0.583177,0.266667,0.666667,0.0,1.012376,0.575472
6,1.792224,1.575824,0.000943,0.749458,0.574223,0.266667,0.666667,0.0,1.014137,0.561687
7,1.740071,1.586704,-0.001049,0.753081,0.577451,0.266667,0.666667,0.0,1.019573,0.567131
8,1.891289,1.62226,-0.002322,0.766956,0.58987,0.266667,0.666667,0.0,1.034039,0.588221
9,1.818179,1.604195,-0.00511,0.745744,0.56864,0.266667,0.666667,0.0,1.04806,0.556135
10,1.793551,1.608947,-0.004957,0.768046,0.589518,0.266667,0.666667,0.0,1.019053,0.589894
11,1.762383,1.5958,-0.005533,0.755494,0.577822,0.266667,0.666667,0.0,1.02503,0.57077
12,1.821387,1.568908,-0.007933,0.741725,0.563226,0.266667,0.666667,0.0,1.018752,0.550156
13,1.801967,1.628727,-0.006622,0.774614,0.594894,0.266667,0.666667,0.0,1.0287,0.600027
14,1.809896,1.604205,-0.008203,0.749698,0.571905,0.266667,0.666667,0.0,1.042158,0.562047
15,1.832833,1.582971,-0.007878,0.745352,0.567101,0.266667,0.666667,0.0,1.027422,0.555549
16,1.742397,1.585231,-0.009435,0.73753,0.557478,0.266667,0.666667,0.0,1.04128,0.543951
17,1.74821,1.608454,-0.009549,0.752419,0.574142,0.266667,0.666667,0.0,1.04232,0.566134
18,1.776111,1.633469,-0.006022,0.76489,0.587815,0.266667,0.666667,0.0,1.048411,0.585057
19,1.830831,1.595017,-0.00625,0.74435,0.567502,0.266667,0.666667,0.0,1.040959,0.554058
20,1.718535,1.628991,-0.00675,0.75614,0.579293,0.266667,0.666667,0.0,1.057242,0.571748
21,1.747902,1.592273,-0.007051,0.730195,0.550334,0.266667,0.666667,0.0,1.059089,0.533184
22,1.74895,1.601034,-0.006521,0.742891,0.565924,0.266667,0.666667,0.0,1.049147,0.551887
23,1.81952,1.587315,-0.00684,0.743619,0.566695,0.266667,0.666667,0.0,1.034347,0.552969
24,1.841665,1.578696,-0.005372,0.740699,0.56235,0.266667,0.666667,0.0,1.03006,0.548635
25,1.681793,1.595681,-0.006209,0.757018,0.579297,0.266667,0.666667,0.0,1.022606,0.573076
26,1.836555,1.541391,-0.006543,0.725032,0.541438,0.266667,0.666667,0.0,1.015719,0.525671
27,1.770666,1.59234,-0.007507,0.743977,0.565766,0.266667,0.666667,0.0,1.038838,0.553501
28,1.73664,1.572436,-0.007936,0.733121,0.552897,0.266667,0.666667,0.0,1.034969,0.537467
29,1.803298,1.616348,-0.010182,0.761067,0.5826,0.266667,0.666667,0.0,1.037125,0.579224
30,1.685871,1.572744,-0.008975,0.74107,0.562122,0.266667,0.666667,0.0,1.02356,0.549184
31,1.696377,1.568648,-0.009672,0.734231,0.55367,0.266667,0.666667,0.0,1.029552,0.539096
32,1.893034,1.603225,-0.010163,0.761027,0.582578,0.266667,0.666667,0.0,1.024063,0.579162
33,1.731502,1.583455,-0.010097,0.753869,0.575973,0.266667,0.666667,0.0,1.015137,0.568319
34,1.692681,1.551475,-0.011402,0.734357,0.553538,0.266667,0.666667,0.0,1.012195,0.53928
35,1.754542,1.576545,-0.012428,0.744034,0.564951,0.266667,0.666667,0.0,1.022959,0.553586
36,1.832514,1.589256,-0.011283,0.747547,0.568999,0.266667,0.666667,0.0,1.030429,0.558827
37,1.753487,1.558594,-0.012502,0.734341,0.552945,0.266667,0.666667,0.0,1.019337,0.539257
38,1.892213,1.558885,-0.010281,0.745537,0.566652,0.266667,0.666667,0.0,1.003059,0.555826
39,1.635514,1.537623,-0.010513,0.736681,0.55651,0.266667,0.666667,0.0,0.994924,0.542699
40,1.777528,1.563598,-0.010615,0.74758,0.569211,0.266667,0.666667,0.0,1.004722,0.558876
41,1.65855,1.57303,-0.012482,0.747723,0.569171,0.266667,0.666667,0.0,1.013941,0.559089
42,1.652994,1.525044,-0.013457,0.726001,0.540783,0.266667,0.666667,0.0,0.997967,0.527078
43,1.614246,1.570695,-0.016344,0.7414,0.561107,0.266667,0.666667,0.0,1.02102,0.549674
44,1.879251,1.609445,-0.017148,0.766447,0.586843,0.266667,0.666667,0.0,1.022004,0.587441
45,1.672419,1.637748,-0.018247,0.764622,0.585141,0.266667,0.666667,0.0,1.053101,0.584647
46,1.732413,1.66845,-0.020466,0.77223,0.591668,0.266667,0.666667,0.0,1.07211,0.596339
47,1.851008,1.639461,-0.020296,0.757776,0.578042,0.266667,0.666667,0.0,1.065236,0.574225
