epoch,train_loss,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,2.582645,1.143046,-0.000544,0.669159,0.574912,0.307692,0.444444,0.0,0.695272,0.447774
2,1.467441,1.0847,-0.015817,0.630775,0.495295,0.357143,0.555556,0.0,0.686823,0.397877
3,1.337561,1.003938,-0.014016,0.559496,0.481145,0.357143,0.555556,0.0,0.690902,0.313036
4,1.392567,1.071249,-0.009344,0.606062,0.532343,0.307692,0.444444,0.0,0.703937,0.367312
5,1.387744,1.035229,-0.017013,0.574134,0.496642,0.307692,0.444444,0.0,0.705599,0.32963
6,1.313529,1.0154,-0.018837,0.569115,0.49067,0.55,0.555556,0.1,0.691508,0.323892
7,1.344744,1.004347,-0.021929,0.561708,0.481347,0.357143,0.555556,0.0,0.688831,0.315516
8,1.306549,1.009886,-0.023559,0.562197,0.479035,0.5,0.555556,0.181818,0.693821,0.316065
9,1.450128,1.022549,-0.020905,0.566282,0.487759,0.307692,0.444444,0.0,0.701874,0.320675
10,1.24056,1.023137,-0.020531,0.571068,0.492164,0.307692,0.444444,0.0,0.697019,0.326118
11,1.331698,1.021654,-0.025405,0.568462,0.470868,0.307692,0.444444,0.0,0.698505,0.323149
12,1.295531,1.036082,-0.025946,0.580696,0.47527,0.307692,0.444444,0.0,0.698874,0.337208
13,1.462851,1.012935,-0.022319,0.56496,0.485096,0.415584,0.444444,-0.153846,0.693755,0.319179
14,1.306216,1.03161,-0.019402,0.581138,0.508876,0.325,0.333333,-0.35,0.69389,0.337721
15,1.347264,1.026837,-0.020801,0.57301,0.496837,0.307692,0.444444,0.0,0.698496,0.328341
16,1.300232,1.021883,-0.022999,0.562284,0.4767,0.307692,0.444444,0.0,0.705719,0.316164
17,1.255685,1.015115,-0.021864,0.561912,0.47948,0.307692,0.444444,0.0,0.69937,0.315745
18,1.28337,1.027394,-0.02033,0.575472,0.501871,0.5,0.555556,0.181818,0.696225,0.331169
19,1.260484,1.024352,-0.027164,0.575606,0.500913,0.357143,0.555556,0.0,0.693029,0.331323
20,1.30083,1.022423,-0.034435,0.57602,0.499954,0.357143,0.555556,0.0,0.690623,0.331799
21,1.237407,1.019925,-0.037447,0.571503,0.47006,0.357143,0.555556,0.0,0.69331,0.326615
22,1.321958,1.037684,-0.03312,0.583943,0.47446,0.415584,0.444444,-0.046512,0.696695,0.340989
23,1.336416,1.031423,-0.033784,0.574397,0.469155,0.307692,0.444444,0.0,0.701491,0.329932
24,1.299907,1.019754,-0.040272,0.567395,0.477849,0.5,0.555556,0.181818,0.697817,0.321937
25,1.290381,1.022685,-0.047954,0.570652,0.481713,0.415584,0.444444,-0.046512,0.697041,0.325643
26,1.329461,1.026783,-0.056481,0.575429,0.49055,0.307692,0.444444,-0.216216,0.695664,0.331119
