epoch,train_loss,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,2.451165,1.877446,-0.032352,0.874972,0.622475,0.166667,0.333333,0.0,1.11187,0.765576
2,1.684117,1.821145,-0.023323,0.843595,0.607011,0.238095,0.555556,0.0,1.109493,0.711652
3,1.75041,1.786226,-0.009006,0.822541,0.694483,0.238095,0.555556,0.0,1.109652,0.676574
4,1.671289,1.780106,-0.010945,0.814302,0.619916,0.166667,0.333333,0.0,1.117018,0.663088
5,1.744733,1.871722,-0.019898,0.873072,0.617389,0.166667,0.333333,0.0,1.109468,0.762254
6,1.830888,1.825556,-0.018112,0.850441,0.608928,0.238095,0.555556,0.0,1.102306,0.72325
7,1.615894,1.774516,-0.013019,0.81834,0.616222,0.261905,0.333333,0.1,1.104835,0.669681
8,1.615285,1.765938,-0.011942,0.81414,0.629061,0.238095,0.555556,0.0,1.103113,0.662824
9,1.642752,1.772095,-0.015373,0.815914,0.62434,0.238095,0.555556,0.0,1.10638,0.665715
10,1.667821,1.788994,-0.018134,0.825108,0.613108,0.238095,0.555556,0.0,1.108191,0.680803
11,1.686893,1.804802,-0.018384,0.830766,0.609389,0.238095,0.555556,0.0,1.114631,0.690172
12,1.750903,1.793291,-0.018463,0.82554,0.612837,0.238095,0.555556,0.0,1.111775,0.681516
13,1.666665,1.768883,-0.016069,0.816332,0.632031,0.238095,0.555556,0.0,1.102485,0.666398
14,1.704323,1.767215,-0.014332,0.815651,0.637305,0.238095,0.555556,0.0,1.101929,0.665286
15,1.611739,1.853726,-0.027177,0.865343,0.617137,0.157407,0.222222,-0.3125,1.104907,0.748819
16,1.644057,1.79056,-0.02649,0.827648,0.616556,0.121212,0.222222,-0.211538,1.105559,0.685001
17,1.707393,1.797085,-0.016097,0.832708,0.721473,0.157407,0.222222,-0.3125,1.103682,0.693403
18,1.748053,1.777461,-0.020346,0.821419,0.670168,0.222222,0.444444,-0.125,1.102732,0.674728
19,1.635873,1.831277,-0.023925,0.851173,0.612157,0.228571,0.333333,-0.08,1.106782,0.724495
20,1.600974,1.824794,-0.023715,0.845596,0.610969,0.121212,0.222222,-0.211538,1.109761,0.715032
21,1.540963,1.798944,-0.02041,0.826312,0.616003,0.166667,0.333333,0.0,1.116152,0.682792
22,1.623844,1.802858,-0.019956,0.826083,0.615605,0.166667,0.333333,0.0,1.120445,0.682414
23,1.54671,1.813876,-0.020789,0.830811,0.613015,0.166667,0.333333,0.0,1.123629,0.690247
24,1.575449,1.798643,-0.022856,0.828669,0.61568,0.157407,0.222222,-0.3125,1.111951,0.686692
25,1.689633,1.803904,-0.025441,0.834486,0.613354,0.25641,0.555556,0.052632,1.107537,0.696367
26,1.685094,1.785852,-0.027623,0.826041,0.628419,0.238095,0.555556,0.0,1.103509,0.682343
27,1.602549,1.787182,-0.029893,0.828413,0.680313,0.238095,0.555556,0.0,1.100914,0.686268
